项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0.00 ,0,746536,0.00%,0.00%,44.90%,
,SRC生料,,0,374018,,,,
回转窑,OPC熟料,0.00 ,0,480493,0.00%,0.00%,52.71%,
,SRC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,2 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,746536,0.00%,0.00%,44.75%,
,SRC生料,,0,374018,,,,
回转窑,OPC熟料,0 ,0,480493,0.00%,0.00%,52.54%,
,SRC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,3 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,746536,0.00%,0.00%,44.61%,
,SRC生料,,0,374018,,,,
回转窑,OPC熟料,0.00 ,0,480493,0.00%,0.00%,52.37%,
,SRC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,4 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,746536,0.00%,0.00%,44.46%,
,SRC/OWC生料,0 ,0,374018,,,,
回转窑,OPC熟料,0 ,0,480493,0.00%,0.00%,52.20%,
,SRC/OWC熟料,0 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,5 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,44.32%,
,SRC/OWC生料,0 ,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,52.03%,
,SRC/OWC熟料,0 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,6 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,44.18%,
,SRC/OWC生料,0.00 ,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,51.86%,
,SRC/OWC熟料,0.00 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,7 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,44.03%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,51.70%,
,SRC/OWC熟料,0 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,8 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,43.89%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,51.53%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,9 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,43.75%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,51.37%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,10 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,43.61%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,51.20%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,11 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,43.47%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,51.04%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,12 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,43.34%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,50.88%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,11 ,月,13 ,日,,,,
