项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0.00 ,0,746536,0.00%,0.00%,40.88%,
,SRC生料,,0,374018,,,,
回转窑,OPC熟料,0.00 ,0,480493,0.00%,0.00%,47.99%,
,SRC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,2 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,746536,0.00%,0.00%,40.76%,
,SRC生料,,0,374018,,,,
回转窑,OPC熟料,0 ,0,480493,0.00%,0.00%,47.85%,
,SRC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,3 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,746536,0.00%,0.00%,40.64%,
,SRC生料,,0,374018,,,,
回转窑,OPC熟料,0.00 ,0,480493,0.00%,0.00%,47.71%,
,SRC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,4 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,746536,0.00%,0.00%,40.52%,
,SRC/OWC生料,0 ,0,374018,,,,
回转窑,OPC熟料,0 ,0,480493,0.00%,0.00%,47.57%,
,SRC/OWC熟料,0 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,5 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,40.40%,
,SRC/OWC生料,0 ,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,47.43%,
,SRC/OWC熟料,0 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,6 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,40.28%,
,SRC/OWC生料,0.00 ,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,47.29%,
,SRC/OWC熟料,0.00 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,7 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,40.16%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,47.15%,
,SRC/OWC熟料,0 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,8 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,40.04%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,47.01%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,9 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,39.93%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,46.87%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,10 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,39.81%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,46.74%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,11 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,39.69%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,46.60%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,12 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,39.58%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,46.47%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,12 ,月,13 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
