项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,469420,0.00%,0.00%,51.22%,1.无重油，系统停机
,SRC生料,0 ,0,276157,,,,
回转窑,OPC熟料,0 ,0,293059,0.00%,0.00%,57.92%,
,SRC熟料,0 ,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,2 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,469420,0.00%,0.00%,50.88%,1.无重油，系统停机
,SRC生料,0 ,0,276157,,,,
回转窑,OPC熟料,0 ,0,293059,0.00%,0.00%,57.54%,
,SRC熟料,0 ,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,3 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,469420,0.00%,0.00%,50.55%,1.无重油，系统停机
,SRC生料,0 ,0,276157,,,,
回转窑,OPC熟料,0 ,0,293059,0.00%,0.00%,57.17%,
,SRC熟料,0 ,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,4 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,469420,0.00%,0.00%,50.22%,1.无重油，系统停机
,SRC/OWC生料,0 ,0,276157,,,,
回转窑,OPC熟料,0 ,0,293059,0.00%,0.00%,56.80%,
,SRC/OWC熟料,0 ,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,5 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,469420,0.00%,0.00%,49.90%,1.无重油，系统停机
,SRC/OWC生料,0 ,0,276157,,,,
回转窑,OPC熟料,0 ,0,293059,0.00%,0.00%,56.44%,
,SRC/OWC熟料,0 ,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,6 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,469420,0.00%,0.00%,49.58%,1.无重油，系统停机
,SRC/OWC生料,0 ,0,276157,,,,
回转窑,OPC熟料,0 ,0,293059,0.00%,0.00%,56.08%,
,SRC/OWC熟料,0 ,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,7 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,0.00%,0.00%,49.27%,1.无重油，系统停机
,SRC/OWC生料,0,0,276157,,,,
回转窑,OPC熟料,0,0,293059,0.00%,0.00%,55.72%,
,SRC/OWC熟料,0 ,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,8 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,0.00%,0.00%,48.96%,1.无重油，系统停机
,SRC/OWC生料,0,0,276157,,,,
回转窑,OPC熟料,0,0,293059,0.00%,0.00%,55.37%,
,SRC/OWC熟料,0,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,9 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,0.00%,0.00%,48.65%,1.无重油，系统停机
,SRC/OWC生料,0,0,276157,,,,
回转窑,OPC熟料,0,0,293059,0.00%,0.00%,55.03%,
,SRC/OWC熟料,0,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,10 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,0.00%,0.00%,48.35%,"1.无重油，系统停机
2.8:18回转窑点火升温。"
,SRC/OWC生料,0,0,276157,,,,
回转窑,OPC熟料,0,0,293059,0.00%,0.00%,54.68%,
,SRC/OWC熟料,0,0,162015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,11 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,41.67%,3.79%,48.31%,"1.回转窑8:00投料生产；
2.原料磨14:00投料生产"
,SRC/OWC生料,3540,3540,279697,,,,
回转窑,OPC熟料,0,0,293059,66.67%,6.06%,54.76%,
,SRC/OWC熟料,3135,3135,165150,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,12 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,100.00%,11.81%,48.63%,
,SRC/OWC生料,8414,11954,288111,,,,
回转窑,OPC熟料,0,0,293059,100.00%,13.89%,55.03%,
,SRC/OWC熟料,4864,7999,170015,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,13 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,31.25%,13.30%,48.52%,1.7:30-24:00立磨计划停机，配合业主生产LC3.
,SRC/OWC生料,2640,14594,290751,,,,
回转窑,OPC熟料,0,0,293059,100.00%,20.51%,55.31%,
,SRC/OWC熟料,4673,12673,174688,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,6 ,月,14 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,469420,0.00%,12.35%,48.23%,1.0:00-24:00立磨计划停机，配合业主生产LC3.
,SRC/OWC生料,0,14594,290751,,,,
