项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0.00 ,0,746536,0.00%,0.00%,49.98%,
,SRC生料,,0,374018,,,,
回转窑,OPC熟料,0.00 ,0,480493,0.00%,0.00%,58.68%,
,SRC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,2 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,746536,0.00%,0.00%,49.80%,
,SRC生料,,0,374018,,,,
回转窑,OPC熟料,0 ,0,480493,0.00%,0.00%,58.46%,
,SRC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,3 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,746536,0.00%,0.00%,49.62%,
,SRC生料,,0,374018,,,,
回转窑,OPC熟料,0.00 ,0,480493,0.00%,0.00%,58.25%,
,SRC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,4 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,746536,0.00%,0.00%,49.44%,
,SRC/OWC生料,0 ,0,374018,,,,
回转窑,OPC熟料,0 ,0,480493,0.00%,0.00%,58.04%,
,SRC/OWC熟料,0 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,5 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,49.26%,
,SRC/OWC生料,0 ,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,57.83%,
,SRC/OWC熟料,0 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,6 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,49.08%,
,SRC/OWC生料,0.00 ,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,57.62%,
,SRC/OWC熟料,0.00 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,7 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,48.91%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,57.42%,
,SRC/OWC熟料,0 ,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,8 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,,0,746536,0.00%,0.00%,48.73%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,,0,480493,0.00%,0.00%,57.21%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,9 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,48.56%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,57.01%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,10 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,48.39%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,56.81%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,11 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,48.22%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,56.61%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,12 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,48.05%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,56.41%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,13 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,47.88%,
,SRC/OWC生料,0,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,56.21%,
,SRC/OWC熟料,0,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,14 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,47.72%,
,SRC/OWC生料,,0,374018,,,,
回转窑,OPC熟料,0,0,480493,0.00%,0.00%,56.02%,
,SRC/OWC熟料,,0,223044,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,10 ,月,15 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0,0,746536,0.00%,0.00%,47.55%,
