项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,55279,0.00%,0.00%,18.50%,无重油停机检修
,SRC/OWC生料,0 ,0,0,,,,
回转窑,OPC熟料,0 ,0,35302,0.00%,0.00%,19.74%,
,SRC/OWC熟料,0 ,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,2 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,55279,0.00%,0.00%,17.94%,无重油停机检修
,SRC/OWC生料,0 ,0,0,,,,
回转窑,OPC熟料,0 ,0,35302,0.00%,0.00%,19.14%,
,SRC/OWC熟料,0 ,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,3 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,55279,0.00%,0.00%,17.41%,10:15回转窑点火升温
,SRC生料,0 ,0,0,,,,
回转窑,OPC熟料,0 ,0,35302,0.00%,0.00%,18.58%,
,SRC熟料,0 ,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,4 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,55279,0.00%,0.00%,16.92%,1.回转窑升温
,SRC/OWC生料,0 ,0,0,,,,
回转窑,OPC熟料,0 ,0,35302,0.00%,0.00%,18.05%,
,SRC/OWC熟料,0 ,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,5 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,55279,0.00%,0.00%,16.45%,"1.3:12回转窑投料生产
2.12:20-12:40尾排风机轴承温度异常跳动，尾排停机，窑止料。"
,SRC/OWC生料,0 ,0,0,,,,
回转窑,OPC熟料,3880 ,3880,39182,85.29%,17.06%,19.92%,
,SRC/OWC熟料,0 ,0,0,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2024年,2 ,月,6 ,日,,,,
